S.No,Category,Product Code,PRODUCT NAME,Unit,Selling Price,Qty,Cost Price Per Qty (Inc GST)
1,BISCUITS ,CASHEWBIS,CASHEW COOKIES - 150 Gms,pkts,80,4,31.5
2,BISCUITS ,BADAMBIS,BADAM COOKIES - 150 Gms,pkts,80,4,31.5
3,BISCUITS ,JAMBIS,MILK JAM COOKIES - 150 Gms,pkts,80,4,31.5
4,BISCUITS ,CHOCOBIS,CHOCO CHIPS COOLIES - 150 Gms,pkts,80,4,31.5
5,BISCUITS ,COCONUTBIS,COCONUT COOKIES - 150 Gms,pkts,80,4,31.5
6,BISCUITS ,SALTBIS,SALT COOKIES - 150 Gms,pkts,80,4,31.5
7,BISCUITS ,VANNILABIS,SALT COOKIES - 150 Gms,pkts,80,4,31.5
8,BISCUITS ,ORANGEBIS,ORANGE COOKIES - 150 Gms,pkts,80,4,31.5
9,BISCUITS ,BUTTERBIS,BUTTER COOKIES - 150 Gms,pkts,80,4,31.5
10,BISCUITS ,PERALBIS,PERAL MILLET COOKIES - 150 Gms,pkts,90,3,36.75
11,BISCUITS ,KODOBIS,KODO MILLET COOKIES - 150 Gms,pkts,90,3,36.75
12,BISCUITS ,BARNYARDBIS,BARNYARD MILLET COOKIES - 150 Gms,pkts,90,3,36.75
13,BISCUITS ,FINGERBIS,FINGER MILLET COOKIES - 150 Gms,pkts,90,3,36.75
14,VADAM & APPALAM,RRCV200,BUTTON R.VADAM REDCHILLI - 200 Gms,pkts,60,10,27.3
15,VADAM & APPALAM,RGCV200,BUTTON R.VADAM GREENCHILLI - 200 Gms,pkts,60,10,27.3
16,VADAM & APPALAM,RTV200,BUTTON R.VADAM TOMOTO - 200 Gms,pkts,60,10,27.3
17,VADAM & APPALAM,RGAV200,BUTTON R.VADAM GARLIC - 200 Gms,pkts,60,10,27.3
18,VADAM & APPALAM,RPLV200,BUTTON R.VADAM PLAIN - 200 Gms,pkts,50,10,27.3
19,VADAM & APPALAM,ROMV200,BUTTON R.VADAM OMAM - 200 Gms,pkts,50,10,27.3
20,VADAM & APPALAM,RJEEV200,BUTTON R.VADAM JEERA - 200 Gms,pkts,50,10,27.3
,,,,,,,
